day,month,hour,minute,sin_day,cos_day,sin_month,cos_month,sin_hour,cos_hour,sin_min,cos_min,Total,DateTime
0,0,0,0,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 00:00:00
0,0,0,1,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 00:15:00
0,0,0,2,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 00:30:00
0,0,0,3,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 00:45:00
0,0,1,0,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 01:00:00
0,0,1,1,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 01:15:00
0,0,1,2,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 01:30:00
0,0,1,3,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 01:45:00
0,0,2,0,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 02:00:00
0,0,2,1,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 02:15:00
0,0,2,2,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 02:30:00
0,0,2,3,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 02:45:00
0,0,3,0,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 03:00:00
0,0,3,1,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 03:15:00
0,0,3,2,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 03:30:00
0,0,3,3,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 03:45:00
0,0,4,0,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 04:00:00
0,0,4,1,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 04:15:00
0,0,4,2,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 04:30:00
0,0,4,3,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 04:45:00
0,0,5,0,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 05:00:00
0,0,5,1,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 05:15:00
0,0,5,2,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 05:30:00
0,0,5,3,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 05:45:00
0,0,6,0,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 06:00:00
0,0,6,1,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 06:15:00
0,0,6,2,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 06:30:00
0,0,6,3,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 06:45:00
0,0,7,0,0.20129852008866006,0.9795299412524945,1.0,6.123233995736766e-17,0.7071067811865476,0.7071067811865476,0.3090169943749474,0.9510565162951535,0.0,2021-03-01 07:00:00
